repository,packaging_style,region_id,cohesion,coupling,score,action,decision_confidence,boundary
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.common",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.config",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.demo",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.field.domain",5.5,0.8706,0.4878,reconstruct,0.0122,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.field.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.file",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.file.dao",0.6,0.9577,0.2086,reconstruct,0.2914,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.file.domain",2.5556,0.8832,0.4178,reconstruct,0.0822,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.file.service",2.2857,0.9012,0.3972,reconstruct,0.1028,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.file.service.operation",2.5,0.4444,0.6349,preserve,0.1349,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.dao",0.5,0.9923,0.1705,reconstruct,0.3295,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.domain",7.25,0.7623,0.5582,preserve,0.0582,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.message",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.message.jms",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.service",0.9,0.9708,0.2515,reconstruct,0.2485,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.page.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.dao",0.5,0.9902,0.1716,reconstruct,0.3284,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.domain",7.5625,0.7526,0.5653,preserve,0.0653,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.message",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.message.jms",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.service",0.6667,0.9861,0.2069,reconstruct,0.2931,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.structure.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.url.dao",0.5,0.9737,0.1798,reconstruct,0.3202,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.url.domain",1.2,0.9568,0.2943,reconstruct,0.2057,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.url.service",1.3333,0.9487,0.3114,reconstruct,0.1886,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.url.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.web",1.8333,0.7556,0.4458,reconstruct,0.0542,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.web.controller",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.web.deeplink",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.web.file",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.cms.web.processor",0.6667,0.9452,0.2274,reconstruct,0.2726,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common",0.2,0.9960,0.0853,reconstruct,0.4147,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.admin.condition",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.admin.domain",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.audit",0.8,0.9286,0.2579,reconstruct,0.2421,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.breadcrumbs.dto",1,0.9726,0.2637,reconstruct,0.2363,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.breadcrumbs.service",0.6,0.9333,0.2208,reconstruct,0.2792,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.cache",1.2143,0.7671,0.3906,reconstruct,0.1094,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.cache.engine",2.1538,0.3913,0.6458,preserve,0.1458,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.classloader.release",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.condition",0,1,0,reconstruct,0.5,0.5
